datetime,vehicle_count,road_occupancy,congestion_level
2020-01-01 00:00:00,4558,43.64787951436022,Low
2020-01-01 01:00:00,4259,71.71336456388906,Low
2020-01-01 02:00:00,2896,37.84002947866226,Low
2020-01-01 03:00:00,4635,86.29490671427283,Low
2020-01-01 04:00:00,4540,48.613011230287526,Low
2020-01-01 05:00:00,1265,59.191701879202895,Low
2020-01-01 06:00:00,877,46.32553888146553,Low
2020-01-01 07:00:00,510,40.051270273678945,High
2020-01-01 08:00:00,1507,61.364513594403526,Low
2020-01-01 09:00:00,2606,40.220180204989475,Low
2020-01-01 10:00:00,1370,62.26987702506654,Low
2020-01-01 11:00:00,2473,39.99216157270308,Low
2020-01-01 12:00:00,4868,60.68516787393158,Low
2020-01-01 13:00:00,3111,43.56827591324686,Low
2020-01-01 14:00:00,540,95.93152920443589,Low
2020-01-01 15:00:00,853,46.428892697689434,Medium
2020-01-01 16:00:00,3181,47.4909872272854,Medium
2020-01-01 17:00:00,2424,49.442197807178346,Low
2020-01-01 18:00:00,2388,85.09294729993846,Low
2020-01-01 19:00:00,561,64.15465271600434,High
2020-01-01 20:00:00,3656,45.01169922796323,Low
2020-01-01 21:00:00,4185,62.736961069418655,Low
2020-01-01 22:00:00,826,64.05910819186292,High
2020-01-01 23:00:00,2492,60.201832139570435,Low
2020-01-02 00:00:00,2586,62.23761539809449,Low
2020-01-02 01:00:00,948,59.29413278143291,Medium
2020-01-02 02:00:00,4431,43.07906299649045,Medium
2020-01-02 03:00:00,4500,46.62535906829016,Low
2020-01-02 04:00:00,985,34.343900985358204,Low
2020-01-02 05:00:00,1373,68.09661754130966,Medium
2020-01-02 06:00:00,3198,48.23365041394836,Medium
2020-01-02 07:00:00,3727,41.287002017871636,Low
2020-01-02 08:00:00,4578,31.41328475710846,Low
2020-01-02 09:00:00,554,43.63277872504551,Medium
2020-01-02 10:00:00,1669,43.96885510812893,Low
2020-01-02 11:00:00,1221,61.05653036888987,Medium
2020-01-02 12:00:00,853,61.19540069100383,Low
2020-01-02 13:00:00,4609,51.43485023320578,Low
2020-01-02 14:00:00,3436,78.60162967972374,Low
2020-01-02 15:00:00,3725,41.23816757674545,Medium
2020-01-02 16:00:00,4878,57.60854626758938,Low
2020-01-02 17:00:00,4288,62.74755830397014,Low
2020-01-02 18:00:00,3578,65.8442140895087,Low
2020-01-02 19:00:00,2976,52.73267703044942,Medium
2020-01-02 20:00:00,3206,42.65576202064621,Medium
2020-01-02 21:00:00,4775,36.93542321694009,Low
2020-01-02 22:00:00,1522,68.06676546136448,Medium
2020-01-02 23:00:00,3182,43.382335769887064,Low
2020-01-03 00:00:00,1684,14.739914714775587,Medium
2020-01-03 01:00:00,3018,50.545056053814974,Low
2020-01-03 02:00:00,1681,66.22201269376035,Low
2020-01-03 03:00:00,3156,56.236704907905064,Medium
2020-01-03 04:00:00,4849,45.06043941887275,Medium
2020-01-03 05:00:00,3332,46.94038275842561,High
2020-01-03 06:00:00,3487,51.25562438635489,Low
2020-01-03 07:00:00,2384,55.482924920519444,Low
2020-01-03 08:00:00,4025,76.35885247785556,High
2020-01-03 09:00:00,803,59.214525178218025,Low
2020-01-03 10:00:00,3227,69.10990975681584,Low
2020-01-03 11:00:00,2435,40.61060453265168,Medium
2020-01-03 12:00:00,3143,69.07204617465253,Low
2020-01-03 13:00:00,2883,85.54133640834067,Low
2020-01-03 14:00:00,3021,66.46075866721422,High
2020-01-03 15:00:00,4482,48.90975246035769,Low
2020-01-03 16:00:00,2501,55.505773738433405,High
2020-01-03 17:00:00,3805,25.065890542872758,High
2020-01-03 18:00:00,3889,46.417183658274595,Low
2020-01-03 19:00:00,859,56.927445023008545,High
2020-01-03 20:00:00,884,56.974281298644286,Low
2020-01-03 21:00:00,3568,66.03659386152863,Medium
2020-01-03 22:00:00,690,45.017333318984015,Low
2020-01-03 23:00:00,2329,25.06520625173198,Low
2020-01-04 00:00:00,2408,63.62004266068905,Low
2020-01-04 01:00:00,3271,22.233795454913956,Low
2020-01-04 02:00:00,685,38.64447386700238,Low
2020-01-04 03:00:00,1107,24.489010465705746,Low
2020-01-04 04:00:00,746,2.9989979253834065,Low
2020-01-04 05:00:00,2951,34.854114349889535,Low
2020-01-04 06:00:00,1038,64.04667440831162,Low
2020-01-04 07:00:00,1215,50.40839452851248,Low
2020-01-04 08:00:00,3280,25.07846215843474,Low
2020-01-04 09:00:00,3022,70.92581044554777,Medium
2020-01-04 10:00:00,2277,21.660020302279246,Low
2020-01-04 11:00:00,1144,33.1543540817092,Medium
2020-01-04 12:00:00,2773,36.97382746705659,Low
2020-01-04 13:00:00,853,42.99000307144004,Medium
2020-01-04 14:00:00,3552,54.15378488294187,Medium
2020-01-04 15:00:00,923,43.8862676502799,High
2020-01-04 16:00:00,3752,51.61122699250773,Low
2020-01-04 17:00:00,3234,56.748873583598225,Low
2020-01-04 18:00:00,668,48.673589189051484,Low
2020-01-04 19:00:00,1953,51.72411190283322,Low
2020-01-04 20:00:00,2789,41.043676124795205,Medium
2020-01-04 21:00:00,1749,30.55024453335239,Low
2020-01-04 22:00:00,3835,48.85280276541167,Low
2020-01-04 23:00:00,3762,76.6817571087545,Low
2020-01-05 00:00:00,2953,48.12629554504632,Low
2020-01-05 01:00:00,4094,41.43388078866556,Medium
2020-01-05 02:00:00,3653,43.88040423718832,Low
2020-01-05 03:00:00,1107,48.19272815764652,Low
2020-01-05 04:00:00,591,48.405960552236486,Low
2020-01-05 05:00:00,3555,53.21764378121948,Medium
2020-01-05 06:00:00,712,86.0603964484384,Low
2020-01-05 07:00:00,4664,24.35592272958585,Low
2020-01-05 08:00:00,3376,41.33197333685258,Medium
2020-01-05 09:00:00,4040,20.214073249181794,Low
2020-01-05 10:00:00,1431,44.09659982186539,Low
2020-01-05 11:00:00,3979,48.81938396604108,Low
2020-01-05 12:00:00,1308,54.39001405011482,Low
2020-01-05 13:00:00,666,63.47902571853505,Medium
2020-01-05 14:00:00,3993,50.290847839337765,Low
2020-01-05 15:00:00,2174,48.605517604201125,Medium
2020-01-05 16:00:00,3199,46.326342079898396,Medium
2020-01-05 17:00:00,719,79.80875581875583,Medium
2020-01-05 18:00:00,887,48.39930828914526,Low
2020-01-05 19:00:00,2762,66.68999556499614,Low
2020-01-05 20:00:00,3298,9.621771034614504,Low
2020-01-05 21:00:00,3411,38.74674772416613,Low
2020-01-05 22:00:00,633,77.12881097046628,Low
2020-01-05 23:00:00,3742,46.681710839411764,Low
2020-01-06 00:00:00,518,38.5188301421448,Low
2020-01-06 01:00:00,1107,26.72260446225034,Low
2020-01-06 02:00:00,1928,72.39639559933146,Low
2020-01-06 03:00:00,2690,50.201188662771735,Low
2020-01-06 04:00:00,4692,56.6225628348565,Low
2020-01-06 05:00:00,1817,39.02732769877681,High
2020-01-06 06:00:00,4398,55.57228518918972,Low
2020-01-06 07:00:00,955,21.746580865951863,Low
2020-01-06 08:00:00,4663,38.584238633669045,Low
2020-01-06 09:00:00,3962,29.311927008725956,Low
2020-01-06 10:00:00,1518,83.8929692079119,Low
2020-01-06 11:00:00,2859,49.897445594659395,Low
2020-01-06 12:00:00,3035,56.12068563600162,Low
2020-01-06 13:00:00,4332,39.18371009628716,Low
2020-01-06 14:00:00,4133,56.9594890798048,Medium
2020-01-06 15:00:00,1306,50.807504404044124,High
2020-01-06 16:00:00,1096,62.57670723319825,Medium
2020-01-06 17:00:00,2665,39.544551806786075,Medium
2020-01-06 18:00:00,4511,83.02649787029526,Low
2020-01-06 19:00:00,3702,73.75034398786225,Medium
2020-01-06 20:00:00,4166,79.67428446494992,Low
2020-01-06 21:00:00,963,56.03094903436933,Low
2020-01-06 22:00:00,1874,36.64679965324521,Low
2020-01-06 23:00:00,3328,50.08638144820319,Low
2020-01-07 00:00:00,1435,44.80777785884538,High
2020-01-07 01:00:00,2041,68.34831787404792,Medium
2020-01-07 02:00:00,4200,49.24312886239899,High
2020-01-07 03:00:00,4006,60.80313410595943,Medium
2020-01-07 04:00:00,3979,58.97373492731669,Medium
2020-01-07 05:00:00,2545,73.32717262424774,Low
2020-01-07 06:00:00,3573,48.932678763878855,Low
2020-01-07 07:00:00,2668,36.44652023732343,Low
2020-01-07 08:00:00,4490,70.7806909990593,Low
2020-01-07 09:00:00,746,54.822434643389016,Low
2020-01-07 10:00:00,2517,58.489510374937396,Low
2020-01-07 11:00:00,1431,39.62222593510738,Medium
2020-01-07 12:00:00,1800,57.211163095941814,Medium
2020-01-07 13:00:00,1471,55.42192537373917,Medium
2020-01-07 14:00:00,4728,54.2671842845369,Medium
2020-01-07 15:00:00,764,48.98956364733731,Low
2020-01-07 16:00:00,3571,25.643577452479207,Low
2020-01-07 17:00:00,3777,68.1970807835927,Low
2020-01-07 18:00:00,528,67.50826702503399,High
2020-01-07 19:00:00,4524,51.318605017656374,Low
2020-01-07 20:00:00,2272,54.22081815875811,High
2020-01-07 21:00:00,1248,45.34342791747402,Low
2020-01-07 22:00:00,1094,60.875839343342335,Low
2020-01-07 23:00:00,3984,60.71444304814239,Low
2020-01-08 00:00:00,4155,38.27121720057452,Low
2020-01-08 01:00:00,4753,63.38039208194691,High
2020-01-08 02:00:00,3593,52.840698549477814,Medium
2020-01-08 03:00:00,4156,48.62081262539563,Low
2020-01-08 04:00:00,2429,54.27877879185236,Medium
2020-01-08 05:00:00,2507,56.99917188136912,Low
2020-01-08 06:00:00,4696,38.129213777648886,Medium
2020-01-08 07:00:00,3245,52.18026537629438,Low
2020-01-08 08:00:00,2799,58.72627714020481,Medium
2020-01-08 09:00:00,576,64.20471634242121,Medium
2020-01-08 10:00:00,1679,53.7566001784315,Low
2020-01-08 11:00:00,1041,55.196091609680174,Low
2020-01-08 12:00:00,1673,77.87102740560196,Low
2020-01-08 13:00:00,4881,59.903874922078344,Medium
2020-01-08 14:00:00,4501,31.132507767154397,Low
2020-01-08 15:00:00,2113,45.76771250113245,Low
2020-01-08 16:00:00,1489,45.2132289617417,Low
2020-01-08 17:00:00,4826,96.2358651523017,Low
2020-01-08 18:00:00,3894,67.19622212221434,Low
2020-01-08 19:00:00,1244,47.863808201950185,Low
2020-01-08 20:00:00,1195,63.95525219861783,Medium
2020-01-08 21:00:00,2778,64.63647136063133,Medium
2020-01-08 22:00:00,3522,49.195164643618,Medium
2020-01-08 23:00:00,4924,44.05767722487204,Low
2020-01-09 00:00:00,848,33.88137874776326,High
2020-01-09 01:00:00,2722,48.861235770381334,Medium
2020-01-09 02:00:00,3187,60.994465183407975,Medium
2020-01-09 03:00:00,500,50.91245581807438,Low
2020-01-09 04:00:00,4086,57.103485769655,Low
2020-01-09 05:00:00,3673,48.66462323618326,Low
2020-01-09 06:00:00,2519,78.14684506296716,Low
2020-01-09 07:00:00,3442,64.52646656265225,Low
2020-01-09 08:00:00,1812,62.00339963780302,Low
2020-01-09 09:00:00,1264,39.6369741675377,High
2020-01-09 10:00:00,1739,32.52780549320985,Medium
2020-01-09 11:00:00,4743,48.31167080309255,High
2020-01-09 12:00:00,1969,20.85931615812344,Medium
2020-01-09 13:00:00,1511,47.4003984838098,Low
2020-01-09 14:00:00,4652,63.78923477174482,Medium
2020-01-09 15:00:00,4772,25.72748051884484,Low
2020-01-09 16:00:00,2491,63.19979805838064,Low
2020-01-09 17:00:00,941,54.08268048697968,Medium
2020-01-09 18:00:00,690,63.42607847051183,Low
2020-01-09 19:00:00,4901,65.30616640457602,Low
2020-01-09 20:00:00,3369,87.1708641789222,Low
2020-01-09 21:00:00,1802,53.319407976485095,Medium
2020-01-09 22:00:00,1978,46.188857151008584,Low
2020-01-09 23:00:00,4097,33.07150055744327,Medium
2020-01-10 00:00:00,2732,56.929173656803854,Medium
2020-01-10 01:00:00,1875,51.96903363196911,High
2020-01-10 02:00:00,2066,74.6773689588666,Low
2020-01-10 03:00:00,655,18.901797554597213,Low
2020-01-10 04:00:00,1215,32.6929932765632,Low
2020-01-10 05:00:00,1788,64.17382824505844,Low
2020-01-10 06:00:00,2438,9.079976129843018,Medium
2020-01-10 07:00:00,2574,38.341783830306625,Medium
2020-01-10 08:00:00,4743,76.44559482915743,Low
2020-01-10 09:00:00,1196,45.888569148041455,Medium
2020-01-10 10:00:00,2587,96.13484929147303,Low
2020-01-10 11:00:00,1872,44.145646663383914,Medium
2020-01-10 12:00:00,3494,33.940619426118424,Low
2020-01-10 13:00:00,2687,64.90151127020957,Medium
2020-01-10 14:00:00,3076,53.54338430654315,Low
2020-01-10 15:00:00,659,59.46409128814117,Low
2020-01-10 16:00:00,3681,27.52469001176121,High
2020-01-10 17:00:00,1651,52.896314704424256,Low
2020-01-10 18:00:00,3587,68.90034430176235,Low
2020-01-10 19:00:00,3188,74.84257310410504,Low
2020-01-10 20:00:00,4759,46.08159350580833,Low
2020-01-10 21:00:00,3543,55.07642691976789,Medium
2020-01-10 22:00:00,2178,57.05049112285721,Low
2020-01-10 23:00:00,1354,39.71310573411752,Low
2020-01-11 00:00:00,3216,60.81437185360413,Low
2020-01-11 01:00:00,2282,51.33148437132908,Low
2020-01-11 02:00:00,833,69.63784505643196,Low
2020-01-11 03:00:00,1698,75.29148913405214,Low
2020-01-11 04:00:00,1075,68.92777109007032,Low
2020-01-11 05:00:00,2013,65.77044877700732,Medium
2020-01-11 06:00:00,2684,31.84689815430471,High
2020-01-11 07:00:00,2153,48.278033421318085,Low
2020-01-11 08:00:00,1166,67.09424685786891,Low
2020-01-11 09:00:00,3713,19.215371428624696,Low
2020-01-11 10:00:00,1449,40.28840356799526,Low
2020-01-11 11:00:00,1688,45.37820521120781,Low
2020-01-11 12:00:00,1617,20.095087644264115,Medium
2020-01-11 13:00:00,2963,53.599399091332714,Medium
2020-01-11 14:00:00,1334,24.180319604119877,Low
2020-01-11 15:00:00,4218,72.1658767967108,Low
2020-01-11 16:00:00,643,50.76645073091117,Low
2020-01-11 17:00:00,3804,11.332763155003327,Low
2020-01-11 18:00:00,1888,69.81049584946629,Low
2020-01-11 19:00:00,3926,71.66772694635861,High
2020-01-11 20:00:00,3030,39.2585893999442,Medium
2020-01-11 21:00:00,502,63.805837621755565,Medium
2020-01-11 22:00:00,1390,38.91029454293097,Low
2020-01-11 23:00:00,801,48.34072342609342,Low
2020-01-12 00:00:00,2172,50.08998259356897,Low
2020-01-12 01:00:00,4245,31.29418226987206,Low
2020-01-12 02:00:00,2403,60.85907902877635,Low
2020-01-12 03:00:00,1330,25.494354311813286,Medium
2020-01-12 04:00:00,3315,49.810022612649306,Low
2020-01-12 05:00:00,2036,16.387361917875445,Medium
2020-01-12 06:00:00,3702,61.6040755913983,Medium
2020-01-12 07:00:00,3218,37.95795813523502,Low
2020-01-12 08:00:00,3612,45.48347639868379,Low
2020-01-12 09:00:00,1042,16.118910023598666,Medium
2020-01-12 10:00:00,2783,24.975230861576065,Medium
2020-01-12 11:00:00,4984,42.213780580018906,Low
2020-01-12 12:00:00,4313,47.33993992205242,Medium
2020-01-12 13:00:00,2219,35.94284338315942,Medium
2020-01-12 14:00:00,2522,42.50590923005769,Low
2020-01-12 15:00:00,4182,45.582895768780254,Low
2020-01-12 16:00:00,1884,58.98985914078158,High
2020-01-12 17:00:00,3316,71.89585591202997,Low
2020-01-12 18:00:00,2328,28.242690134159815,Low
2020-01-12 19:00:00,1045,31.525107686825322,Low
2020-01-12 20:00:00,3153,47.44550277367127,Low
2020-01-12 21:00:00,846,40.83567479931941,Low
2020-01-12 22:00:00,1135,38.39276058900067,High
2020-01-12 23:00:00,3864,52.79967241778065,Medium
2020-01-13 00:00:00,3181,45.632267356026524,Low
2020-01-13 01:00:00,2610,35.98392471335845,Low
2020-01-13 02:00:00,4438,65.48107555910428,Low
2020-01-13 03:00:00,1811,46.44988008127902,High
2020-01-13 04:00:00,1789,19.550646459372057,Low
2020-01-13 05:00:00,4001,34.93887942327535,Low
2020-01-13 06:00:00,4092,44.49235205219486,Medium
2020-01-13 07:00:00,3276,51.38577659534956,Low
2020-01-13 08:00:00,3800,63.68143818947353,High
2020-01-13 09:00:00,3677,32.1486645404977,Medium
2020-01-13 10:00:00,1399,41.885062965910265,Medium
2020-01-13 11:00:00,4483,31.553120260056968,Low
2020-01-13 12:00:00,1332,57.94603452839487,Medium
2020-01-13 13:00:00,4012,52.492541581567664,Medium
2020-01-13 14:00:00,2720,51.694426858775444,Low
